"","Num_Ap","Capital"
"280",280,34890
"281",281,35770
"282",282,36620
"283",283,37570
"284",284,38330
"285",285,37330
"286",286,38360
"287",287,37360
"288",288,38440
"289",289,39120
"290",290,39770
"291",291,40580
"292",292,39580
"293",293,40670
"294",294,41500
"295",295,40500
"296",296,39500
"297",297,38500
"298",298,37500
"299",299,36500
"300",300,37590
"301",301,36590
"302",302,37340
"303",303,36340
"304",304,35340
"305",305,36230
"306",306,37340
"307",307,36340
"308",308,36960
"309",309,37820
"310",310,36820
"311",311,35820
"312",312,36930
"313",313,35930
"314",314,34930
"315",315,33930
"316",316,32930
"317",317,31930
"318",318,32780
"319",319,33700
"320",320,32700
"321",321,33570
"322",322,34310
"323",323,35230
"324",324,36060
"325",325,35060
"326",326,34060
"327",327,34860
"328",328,35790
"329",329,34790
"330",330,35520
"331",331,36470
"332",332,37320
"333",333,38210
"334",334,39380
"335",335,40090
"336",336,39090
"337",337,38090
"338",338,38940
"339",339,39850
"340",340,38850
"341",341,39680
"342",342,40450
"343",343,41640
"344",344,40640
"345",345,41310
"346",346,42110
"347",347,41110
"348",348,41740
"349",349,40740
"350",350,41570
"351",351,42340
"352",352,43010
"353",353,43760
"354",354,44650
"355",355,43650
"356",356,42650
"357",357,43480
"358",358,44100
"359",359,43100
"360",360,43930
"361",361,44740
"362",362,45650
"363",363,46440
"364",364,45440
"365",365,46100
"366",366,47100
"367",367,47680
"368",368,48480
"369",369,47480
"370",370,46480
"371",371,45480
"372",372,44480
"373",373,45680
"374",374,44680
"375",375,43680
"376",376,44640
"377",377,45710
"378",378,44710
"379",379,45420
"380",380,44420
"381",381,45110
"382",382,44110
"383",383,44970
"384",384,45620
"385",385,44620
"386",386,45560
"387",387,46460
"388",388,47230
"389",389,48050
"390",390,47050
"391",391,47760
"392",392,48410
"393",393,49230
"394",394,48230
"395",395,48800
"396",396,47800
"397",397,48900
"398",398,49960
"399",399,48960
"400",400,49590
"401",401,50510
"402",402,51280
"403",403,52120
"404",404,52860
"405",405,53680
"406",406,54440
"407",407,55220
"408",408,54220
"409",409,54820
"410",410,55420
"411",411,54420
"412",412,53420
"413",413,52420
"414",414,51420
"415",415,52120
"416",416,51120
"417",417,50120
"418",418,50890
"419",419,49890
"420",420,48890
"421",421,47890
"422",422,48890
"423",423,49530
"424",424,48530
"425",425,47530
"426",426,46530
"427",427,47220
"428",428,46220
"429",429,45220
"430",430,46110
"431",431,46970
"432",432,45970
"433",433,44970
"434",434,43970
"435",435,42970
"436",436,41970
"437",437,40970
"438",438,41940
"439",439,40940
"440",440,39940
"441",441,40690
"442",442,41320
"443",443,40320
"444",444,41070
"445",445,40070
"446",446,41060
"447",447,42220
"448",448,41220
"449",449,42040
"450",450,43090
"451",451,42090
"452",452,42900
"453",453,41900
"454",454,43000
"455",455,44100
"456",456,43100
"457",457,42100
"458",458,42950
"459",459,41950
"460",460,42870
"461",461,43870
"462",462,44870
"463",463,43870
"464",464,42870
"465",465,43700
"466",466,44560
"467",467,43560
"468",468,42560
"469",469,41560
"470",470,40560
